uuid,Members,Answers,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Data class,Data type,_version:1,_order:1253
9d748a87-1b04-46cf-8397-c92c798a9529,,,Diagnostic du patient,Patient diagnosis,Diagnostic du patient,Patient diagnosis,Misc,Text,,
da9b9a5a-ff0d-4220-951b-4116570fb3ce,Presence of the file;Operating room service informed;Type of surgery,,1.Modalités pratiques pour le transfert au bloc,1.Practical arrangements for transfer to the operating room,1.Modalités pratiques pour le transfert au bloc,1.Practical arrangements for transfer to the operating room,Misc,N/A,,
9be4ca7c-ecc5-4796-abd1-72c15679f5e4,,Yes full name;No full name,Présence du dossier,Presence of the file,Présence du dossier,Presence of the file,Misc,coded,,
907ac7a2-347a-4bc2-9f95-db21fb55a890,,Yes full name;No full name,Service du bloc informé,Operating room service informed,Service du bloc informé,Operating room service informed,Misc,coded,,
f8788b81-cb17-4602-8ba3-2384397d2693,,Clean(surgery);Contaminated(surgery),Type de chirurgie,Type of surgery,Type de chirurgie,Type of surgery,Misc,coded,,
9a922421-3744-489d-8f2b-fde1a22dcbf3,,,Propre(chirurgie),Clean(surgery),Propre(chirurgie),Clean(surgery),Misc,N/A,,
9c15bf1f-9321-42eb-9a4b-c0efa7dcae24,,,Sale(chirurgie),Contaminated(surgery),Sale(chirurgie),Contaminated(surgery),Misc,N/A,,
f9862715-f21f-42b2-9e2e-11073cf6f77f,"Informed consent?;Pre-Anesthesia Consultation ?;Colic preparation ?;Evacuation Enema ?;Irrigation via NGS ?;X-prep ?;Bladder Catheterization;Patient hygiene ?;Preparation of the surgical site ?;Preoperative assessments",,2.Préparation des opérés,2.Preparation of the operated,2.Préparation des opérés,2.Preparation of the operated,Misc,N/A,,
7d95586e-7a7d-4b62-b7ce-f361880e4783,,Yes full name;No full name,Consentement éclairé ?,Informed consent?,Consentement éclairé ?,Informed consent?,Misc,coded,,
8edc5eec-2faf-4377-832f-d03c7ec07827,,Yes full name;No full name,Consultation pré-anesthésique ?,Pre-Anesthesia Consultation ?,Consultation pré-anesthésique ?,Pre-Anesthesia Consultation ?,Misc,coded,,
90e54e8c-9b5a-4ce7-905a-e89e9a180ebd,,Yes full name;No full name,Préparation colique ?,Colic preparation ?,Préparation colique ?,Colic preparation ?,Misc,coded,,
f5639d4b-7646-471d-be81-6a56124a6837,,Yes full name;No full name,Lavement évacuateur ?,Evacuation Enema ?,Lavement évacuateur ?,Evacuation Enema ?,Misc,coded,,
181f655d-607b-43bd-ba07-c4fb2aec929c,,Yes full name;No full name,Irrigation via SNG ?,Irrigation via NGS ?,Irrigation via SNG ?,Irrigation via NGS ?,Misc,coded,,
a85eedca-483d-4634-8f4b-17384fe22e42,,Yes full name;No full name,X-prep ?,X-prep ?,X-prep ?,X-prep ?,Misc,coded,,
b161548d-b642-4c61-98b6-2cfb2ec7bc92,,Yes full name;No full name,À jeûn ?,Fasting ?,À jeûn ?,Fasting ?,Misc,coded,,
c6fdca18-1ab0-48ba-bd49-878676302714,,Yes full name;No full name,Cathétérisme vésical,Bladder Catheterization,Cathétérisme vésical,Bladder Catheterization,Misc,coded,,
0a37cd4f-6330-4562-8928-8e775c5e3928,,Yes full name;No full name,Toilette du malade ?,Patient hygiene ?,Toilette du malade ?,Patient hygiene ?,Misc,coded,,
e49fba9e-f9a9-4721-a6ba-407768e93850,,Yes full name;No full name,Préparation du site opératoire ?,Preparation of the surgical site ?,Préparation du site opératoire ?,Preparation of the surgical site ?,Misc,coded,,
0789ed7e-7368-4366-a36e-8d943a869440,CBC done ?;PT done ?;PTT done ?;Blood type and Rh done ?;Urea done ?;LAV done ?;LAV result;Creatinine done ?;Electrolyte panel done ?;X-ray done ?;Echography done ?;CT scan done ?;Blood bag available ?,,Bilans pré-opératoires,Preoperative assessments,Bilans pré-opératoires,Preoperative assessments,Misc,N/A,,
5eeb0599-9469-471e-a433-2c45c9981ebf,,Yes full name;No full name,NFS fait ?,CBC done ?,NFS fait ?,CBC done ?,Misc,coded,,
ddcff653-9e30-4830-ba43-3445734981ab,,Yes full name;No full name,TP fait ?,PT done ?,TP fait ?,PT done ?,Misc,coded,,
f83c7bf0-b515-4fed-abc2-0e68c5cdfebd,,Yes full name;No full name,TCK fait ?,PTT done ?,TCK fait ?,PTT done ?,Misc,coded,,
586c5b6d-7e23-43ab-8e5b-a3f60be245c3,,Yes full name;No full name,GS-Rh fait ?,Blood type and Rh done ?,GS-Rh fait ?,Blood type and Rh done ?,Misc,coded,,
081de6af-bd0c-4522-bb30-5221026eb374,,Yes full name;No full name,Urée faite ?,Urea done ?,Urée faite ?,Urea done ?,Misc,coded,,
1f932948-9323-48d2-9999-9dc0fe7a81d7,,Yes full name;No full name,LAV fait ?,LAV done ?,LAV fait ?,LAV done ?,Misc,coded,,
a5176225-9271-4507-9803-ba4c64fc00c6,,Positive;Negative;Unknown,Résultat LAV,LAV result,Résultat LAV,LAV result,Misc,coded,,
3813def1-c1c9-4b93-b6a9-09771e844679,,Yes full name;No full name,Créatinine faite ?,Creatinine done ?,Créatinine faite ?,Creatinine done ?,Misc,coded,,
b7d594e2-f417-4e88-a44b-5db4b9f4f583,,Yes full name;No full name,Ionogramme fait ?,Electrolyte panel done ?,Ionogramme fait ?,Electrolyte panel done ?,Misc,coded,,
1d473e4f-2498-468c-9323-0aae0acf274c,,Yes full name;No full name,Radiographie faite ?,X-ray done ?,Radiographie faite ?,X-ray done ?,Misc,coded,,
07be9c98-b3ae-4512-8d3d-6820d254b835,,Yes full name;No full name,Echographie faite ?,Echography done ?,Echographie faite ?,Echography done ?,Misc,coded,,
ac449d97-5296-4d32-b9ac-ba27d62f19d9,,Yes full name;No full name,TDM fait ?,CT scan done ?,TDM fait ?,CT scan done ?,Misc,coded,,
51adfb84-8a6f-4142-9358-8ae32cc2a299,,Yes full name;No full name,Poche de sang disponible ?,Blood bag available ?,Poche de sang disponible ?,Blood bag available ?,Misc,coded,,
2fd53e88-81c4-440f-b1e6-c0663301fcdb,"Patient diagnosis;1.Practical arrangements for transfer to the operating room;2.Preparation of the operated",,Entrée au bloc: liste de contrôle,Entry to the operating room: checklist,Entrée au bloc: liste de contrôle,Entry to the operating room: checklist,Misc,N/A,,
