uuid,Members,Answers,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Data class,Data type,_version:1,_order:1259
12838392-940e-41d0-8be4-c4e285034c80,,,Taille(cm),Height(cm),Taille(cm),Height(cm),Misc,Numeric,,
a13b4bd3-6b86-4345-8614-830919fa3dc5,,,Poids(kg),Weight(kg),Poids(kg),Weight(kg),Misc,Numeric,,
75c16b90-1cc1-42e4-8023-f14e2643f275,,,Terrains,Sites,Terrains,Sites,Misc,Text,,                         
b50b7f8a-7974-4234-a2e4-e644e29841da,,,Anesthésistes,Anesthesiologists,Anesthésistes,Anesthesiologists,Misc,Text,,                         
2a479cec-2481-4e62-a588-150c117be1da,,,Anesthésie,Anesthesia,Anesthésie,Anesthesia,Misc,Text,,
46b41833-8c1a-4693-8371-e405789aaa93,,,Numéro de salle,Room number,Numéro de salle,Room number,Misc,Text,,
3bcc3f5e-50cf-41df-a78e-bb4f53685818,,,HDR,HRD,HDR,HRD,Misc,Text,,
577cb528-8940-4b18-9d5b-4897e211a30b,,,Jeûn pré-opératoire,Preoperative fasting,Jeûn pré-opératoire,Preoperative fasting,Misc,Text,,
f6186b24-1c30-41ca-a5ef-5c98598fc2b2,,,Diagnostic pré-opératoire,Preoperative diagnosis,Diagnostic pré-opératoire,Preoperative diagnosis,Misc,Text,,
c38d98cd-3f10-11e4-adec-0800271c1b75,,,Acte opératoire,Operative act,Acte opératoire,Operative act,Misc,Text,,
67b80c4d-df36-4980-9bed-32bfeb1c04fb,Operation announcement;Entry to the operating room hour;Exit from the operating room hour;Stay;Surgery done;Anesthesia done;CORMARK,,Information opératoire,Operative information,Information opératoire,Operative information,Misc,N/A,,
9cf6a871-605f-432a-a2ee-8d1b608d5f14,,,Date opération,Operation date,Date opération,Operation date,Misc,Date,,
1d432c93-56c6-4b6d-93d7-98e2ca2e7063,,,Annonce opération,Operation announcement,Annonce opération,Operation announcement,Misc,Text,,
02d7cbfd-4e0e-490a-b397-70faf214cac2,,,Heure entrée au bloc,Entry to the operating room hour,Heure entrée au bloc,Entry to the operating room hour,Misc,DateTime,,
f69fea6e-b8ce-4a91-a880-bf0250d76222,,,Heure sortie du bloc,Exit from the operating room hour,Heure sortie du bloc,Exit from the operating room hour,Misc,DateTime,,
a8ac2d9a-d435-4682-8fe3-c8c1f6409e97,,,Séjour,Stay,Séjour,Stay,Misc,Text,,
5ee65f49-4a81-48d8-bd19-6604f3101390,,,Chirurgie pratiquée,Surgery done,Chirurgie pratiquée,Surgery done,Misc,Text,,
fa168c80-db1f-4204-be96-22dc1dd4a86c,,,Anesthésie pratiquée,Anesthesia done,Anesthésie pratiquée,Anesthesia done,Misc,Text,,
2988bb87-0bef-4c40-a839-5ccf01d4a3e1,,,CORMARK,CORMARK,CORMARK,CORMARK,Misc,Text,,
076bb996-74d7-4ac2-a08b-f4686c732f8e,Height(cm);Weight(kg);Sites;Anesthesiologists;Anesthesia;Room number;HRD;Preoperative fasting;Preoperative diagnosis;Operative information,,Phase pré-opérative,Preoperative phase,Phase pré-opérative,Preoperative phase,Misc,N/A,,
