uuid,Members,Answers,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Data class,Data type,_version:1,_order:1260
60d3a246-c943-4403-bf86-ba3cd89484fe,,,Service de transfusion,Transfusion service,Service de transfusion,Transfusion service,Misc,Text,,
94e39259-6ccc-42f5-b8d6-164880c737ac,,Yes full name;No full name,BPC ?,BPC ?,BPC ?,BPC ?,Misc,coded,,
811ff704-8d81-4972-8ef4-3617996d8f89,,Yes full name;No full name,PC ?,PC ?,PC ?,PC ?,Misc,coded,,
b2baca9a-4b71-49e4-a038-95224b2dbae0,,,Date hospitalisation,Hospitalization date,Date hospitalisation,Hospitalization date,Misc,Date,,
f2253368-2abf-47ab-a379-90310769eab3,,,Diagnostic médical,Medical diagnosis,Diagnostic médical,Medical diagnosis,Misc,Text,,
c5fa4778-85f8-407c-a8cd-29e0924fbfb1,BPC ?;PC ?;Hospitalization date;Medical diagnosis,,Patient transfusé,Transfused patient,Patient transfusé,Transfused patient,Misc,N/A,,
38d5e6f8-4458-4cae-9a14-8245d02d66c7,,,Date de péremption,Expiration date,Date de péremption,Expiration date,Misc,Date,,
01faa96a-8eb1-451c-87ea-1cd8dc0e8d8f,,,N° de poche,Bag number,N° de poche,Bag number,Misc,Text,,
2f59d4fb-189d-4222-881a-592d0adcb57d,Expiration date;Bag number,,1.Groupage ABO RHESUS,1.ABO RHESUS grouping,1.Groupage ABO RHESUS,1.ABO RHESUS grouping,Misc,Text,,
c9215f61-9afe-48c7-acf8-42f008f4d6cb,,Positive;Negative;Unknown,2.Sérologie,2.Serology,2.Sérologie,2.Serology,Misc,coded,,
11fb4019-5149-4f8e-b88a-a5f2d56bcd45,,Yes;No,3.Épreuve compatibilité au laboratoire ?,3.Laboratory compatibility test ?,3.Épreuve compatibilité au laboratoire ?,3.Laboratory compatibility test ?,Misc,Boolean,,
e2349a79-1f40-4e46-8f91-f6944be66b70,,Yes full name;No full name,4.Contrôle au lit ?,4.Bedside check ?,4.Contrôle au lit ?,4.Bedside check ?,Misc,coded,,
94a783bb-376b-42d2-8ada-b3386e230ffc,1.ABO RHESUS grouping;2.Serology;3.Laboratory compatibility test ?;4.Bedside check ?,,Contrôle pré transfusionnel,Pre-transfusion check,Contrôle pré transfusionnel,Pre-transfusion check,Misc,N/A,,
15d420ae-9531-4f84-818a-29f421f0e3f4,,,Date et heure de la transfusion,Date and time of transfusion,Date et heure de la transfusion,Date and time of transfusion,Misc,DateTime,,
d8a69aaa-b40d-4431-9a3a-97c2ece40be8,,,Volume transfusé(ml),Transfused volume(ml),Volume transfusé(ml),Transfused volume(ml),Misc,Numeric,,
d92a9ad0-8a79-421c-bc6e-8968a7399449,,,Indication de la transfuse,Indication for transfusion,Indication de la transfuse,Indication for transfusion,Misc,Text,,
603b8db7-a196-4a51-aabd-a54df92c6674,,,Protocole transfusion,Transfusion protocol,Protocole transfusion,Transfusion protocol,Misc,Text,,
ae4b1330-a819-4759-832b-3ccf10fc705b,Date and time of transfusion;Transfused volume(ml);Indication for transfusion;Transfusion protocol,,Transfusion sanguine,Blood transfusion,Transfusion sanguine,Blood transfusion,Misc,N/A,,
d2ebc5ec-b264-446c-9a70-15f9256b100e,,No full name;Yes:during;After,Transfusion réalisée ?,Transfusion done ?,Transfusion réalisée ?,Transfusion done ?,Misc,coded,,
21852541-26d7-4880-bc22-ac078ad7af46,,,Oui:pendant,Yes:during,Oui:pendant,Yes:during,Misc,N/A,,
77dfb78e-7c9c-43e2-919c-a03a9b39772c,,,Après,After,Après,After,Misc,N/A,,
f9dcf8b1-26d4-47ae-806e-ec4c79dd7dec,Transfusion done ?,,Indication transfusionnelle,Transfusion indication,Indication transfusionnelle,Transfusion indication,Misc,N/A,,
425ef05e-1beb-418e-bfc0-4c00c572d75c,,,Date et heure,Date and time,Date et heure,Date and time,Misc,DateTime,,
06e3acc3-9420-4dbe-a8ab-6ee910f53a7e,,,Tension artérielle(TA),Blood pressure(BP),Tension artérielle(TA),Blood pressure(BP),Misc,Text,,
8450100a-7bec-49d6-ba2b-7f5155797a37,,,Température(°C),Temperature(°C),Température(°C),Temperature(°C),Misc,Text,,
3b51fe15-c63e-4cfb-a1cc-59e84062e5bf,,,Fréquence respiratoire(FR),Respiratory rate(RR),Fréquence respiratoire(FR),Respiratory rate(RR),Misc,Text,,
97679a1f-0294-4a82-8ff2-2f6a1e6adca8,,,Coloration,Coloration,Coloration,Coloration,Misc,Text,,
cbb6c407-e62d-4ad5-942a-ea8d0fcdc0db,,,Intern.inf,Intern.inf,Intern.inf,Intern.inf,Misc,Text,,
870c8a2d-6ff8-4fc7-8783-c42c8324d32a,,,Émargement,Signing off,Émargement,Signing off,Misc,Text,,
1176a020-0a40-438d-9bc0-a74fbf660010,Date and time;Blood pressure(BP);Temperature(°C);Respiratory rate(RR);Coloration;Intern.inf;Signing off,,Tableau de suivi,Monitoring table,Tableau de suivi,Monitoring table,Misc,N/A,,
d385e0bf-3918-4d1e-826b-8be365fe7316,Transfusion service;Transfused patient;Pre-transfusion check;Blood transfusion;Transfusion indication;Monitoring table,,Fiche transfusionnelle,Transfusionnal file,Fiche transfusionnelle,Transfusionnal file,Misc,N/A,,
