uuid,Members,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Data class,Data type,_version:1,_order:860
2c3a8c4e-d07c-460f-b3e8-1aa2c15038c3,,5 Fluoro Uracil,5 Fluoro Uracile 100mg,5 Fluoro Uracil,5 Fluoro Uracile 100mg,Drug,N/A,,
93a70f87-f120-4188-ab06-141b89046ae1,,Acécoumarol,Acécoumarol 1mg,Acécoumarol,Acécoumarol 1mg,Drug,N/A,,
2d31c6a1-89bf-4faa-a97b-7c4639fd599e,,Acécoumarol,Acécoumarol 4mg,Acécoumarol,Acécoumarol 4mg,Drug,N/A,,
7cbfcfc6-45c5-4cd1-8a18-3e9ebadb71e0,,Acetazolamide,Acétazolamide 250mg,Acetazolamide,Acétazolamide 250mg,Drug,N/A,,
2533d4d6-849f-4706-a8a0-a3944649c1f8,,Acetazolamide,Acétyleucine 500mg,Acetazolamide,Acétyleucine 500mg,Drug,N/A,,
d7946e36-9630-4bd2-8040-7a72d1688c44,,Lysine Acetylsalicylate,Acétylsalicylate de lysine 1800mg (soit 1g d'AAS/5ml),Lysine Acetylsalicylate,Acétylsalicylate de lysine 1800mg (soit 1g d'AAS/5ml),Drug,N/A,,
333cc7c3-8ad9-423c-9464-5c9b6111cf85,,Lysine Acetylsalicylate,Acétylsalicylate de lysine 900mg (soit 500mg d'AAS/5ml),Lysine Acetylsalicylate,Acétylsalicylate de lysine 900mg (soit 500mg d'AAS/5ml),Drug,N/A,,
20d91672-40bf-4b80-b837-933745fd9241,,Acyclovir,Aciclovir 3%,Acyclovir,Aciclovir 3%,Drug,N/A,,
6546fac1-4240-4398-a20d-997302bf613e,,Acetyl Salicylic Acid (AAS),Acide Acétyl Salicylique (AAS) 100mg,Acetyl Salicylic Acid (AAS),Acide Acétyl Salicylique (AAS) 100mg,Drug,N/A,,
72791fb9-5d72-4b4d-886c-86e132e293af,,Acetyl Salicylic Acid (AAS),Acide Acétyl Salicylique (AAS) 300mg,Acetyl Salicylic Acid (AAS),Acide Acétyl Salicylique (AAS) 300mg,Drug,N/A,,
8213eca4-c37f-46b3-9237-55a17d9cf36a,,Acetyl Salicylic Acid (AAS),Acide Acétyl Salicylique (AAS) 500mg,Acetyl Salicylic Acid (AAS),Acide Acétyl Salicylique (AAS) 500mg,Drug,N/A,,
b8c7cf30-f20d-443e-9df5-4df8c08a7e28,,Ascorbic Acid (Vitamin C),Acide Ascorbique (Vitamine C) 1g/5ml,Ascorbic Acid (Vitamin C),Acide Ascorbique (Vitamine C) 1g/5ml,Drug,N/A,,
62518b88-25dd-4e6f-bd97-d35a74dfb4d1,,Folinic Acid,Acide folinique 15mg,Folinic Acid,Acide folinique 15mg,Drug,N/A,,
64fcf482-988b-4871-bcaf-89a64265a40c,,Folinic Acid,Acide folinique 5mg,Folinic Acid,Acide folinique 5mg,Drug,N/A,,
ba538b87-2a80-4f4a-bbcd-27f29cc682a7,,Folic Acid,Acide Folique 1mg,Folic Acid,Acide Folique 1mg,Drug,N/A,,
87c8e82f-98b6-4e5a-abbd-7aac1af4e9da,,Folic Acid,Acide Folique 5mg,Folic Acid,Acide Folique 5mg,Drug,N/A,,
25dbfebd-588b-473a-b841-a635543c9396,,Ibandronic Acid,Acide Ibandronique 6mg,Ibandronic Acid,Acide Ibandronique 6mg,Drug,N/A,,
5b14620e-d255-4846-ba67-93486366655a,,Pamidronic Acid,Acide Pamidronique 90mg,Pamidronic Acid,Acide Pamidronique 90mg,Drug,N/A,,
44baac31-ee03-43ad-92a4-6d5a0aadf80e,,Salicylic Para Amino Acid,Acide para amino salicyliques 500mg,Salicylic Para Amino Acid,Acide para amino salicyliques 500mg,Drug,N/A,,
fe5fc326-bcf7-43d0-891b-3b5cd70613e7,,Tranexamic Acid,Acide tranexamique 500mg/5ml,Tranexamic Acid,Acide tranexamique 500mg/5ml,Drug,N/A,,
b93141e5-9480-4550-963e-528c7ebc79b5,,Valproic Acid,Acide Valproïque 200mg forme retard,Valproic Acid,Acide Valproïque 200mg forme retard,Drug,N/A,,
8de82b0a-f864-460a-8e8e-d49a839c6c9d,,Valproic Acid,Acide Valproïque 200mg/5ml,Valproic Acid,Acide Valproïque 200mg/5ml,Drug,N/A,,
1d2909ed-364a-4617-b2c1-49d0af44f6ad,,Valproic Acid,Acide Valproïque 500mg,Valproic Acid,Acide Valproïque 500mg,Drug,N/A,,
f75c0431-13c1-41da-a5f9-bd3931280eb3,,Valproic Acid,Acide Valproïque 500mg forme retard,Valproic Acid,Acide Valproïque 500mg forme retard,Drug,N/A,,
9388c944-ebe1-4539-938a-3bcdf0663364,,Zoledronic Acid,Acide Zolédronique 4mg,Zoledronic Acid,Acide Zolédronique 4mg,Drug,N/A,,
9eea3412-77e3-4140-80c1-3a9a6b6ef74a,,Albendazole,Albendazole 100mg/5ml,Albendazole,Albendazole 100mg/5ml,Drug,N/A,,
2659fae5-1016-4b42-883e-39e2be3cd3bb,,Albendazole,Albendazole 400mg,Albendazole,Albendazole 400mg,Drug,N/A,,
b71e66d2-dee7-4bd2-b7bb-057d3b55bf7a,,Albendazole,Albendazole 400mg -,Albendazole,Albendazole 400mg -,Drug,N/A,,
573141d0-c0dc-4b01-adce-6aab28246170,,Human Albumin,Albumine humaine 20%/100ml,Human Albumin,Albumine humaine 20%/100ml,Drug,N/A,,
7e741ef7-21e6-424c-9543-7acdce841ffa,,Human Albumin,Albumine humaine 20%/50ml,Human Albumin,Albumine humaine 20%/50ml,Drug,N/A,,
223e8c6d-3215-48f0-91a4-2d952cd89e81,,Ethyl Alcohol,Alcool éthylique 95% de 25 litres,Ethyl Alcohol,Alcool éthylique 95% de 25 litres,Drug,N/A,,
