Uuid,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Data class,Data type,_order:955
162335AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ampoule(s),Ampoule(s),,Amp,Units of Measure,N/A,
1517AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Pommade,Ointment,,Ont,Misc,N/A,
162355AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Conteneur,Container,,Can,Units of Measure,N/A,
162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Fiole,Vial,,Vial,Units of Measure,N/A,
2b4663c7-99d4-43a0-9256-7d07f4e5965e,Collyre,Eye drops,Collyre,Eye drops,Misc,N/A,
f872e2c5-43c6-43fd-a06f-17fa2da40d23,Crème,Cream(s),Crème,Cream(s),Misc,N/A,
e56aacba-952d-4976-b909-8b7971098ca4,Gouttes nasales,Nasal drops,Gouttes nasales,Nasal drops,Misc,N/A,
0c275497-867a-4e56-a146-a6b29b02f418,Gouttes auriculaires,Ear drops,Gouttes auriculaires,Ear drops,Misc,N/A,
06ee31e0-d57e-4b9e-a440-e333317ee821,Sachet(s),Sachet(s),Sachet(s),Sachet(s),Misc,N/A,
1518AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Suppositoire,Suppository,,Supp,Units of Measure,N/A,
9bb0795c-4ff0-0305-1990-000000000035,Gouttes,Drops,Gouttes,Drops,Misc,N/A,
1515AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Sirop,Syrup,,,Misc,N/A,
1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Comprimé,Tablet,,Tab,Misc,N/A,
