Uuid,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Data class,Data type,_order:980
9d8e6918-3f10-11e4-adec-0800271c1b75,Immédiatement,Immédiatement,Immédiatement,Immédiatement,Misc,N/A,
160862AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Once daily,,OD (once daily),Frequency,N/A,
160858AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Twice daily,,BD,Frequency,N/A,
9d7d753b-3f10-11e4-adec-0800271c1b75,Trois fois par jour,Three times daily,3x/jour,TID,Frequency,N/A,
160870AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Four times daily,,QID,Frequency,N/A,
33436036-8a92-11e4-977f-0800271c1b75,Toutes les heures,Every hours,q1h,q1h,Frequency,N/A,
3344f15b-8a92-11e4-977f-0800271c1b75,Toutes les 2 heures,Every 2 hour,q2h,q2h,Frequency,N/A,
33460abd-8a92-11e4-977f-0800271c1b75,Toutes les 3 heures,Every 3 hour,q3h,q3h,Frequency,N/A,
334ce904-8a92-11e4-977f-0800271c1b75,Toutes les 4 heures,Every 4 hour,q4h,q4h,Frequency,N/A,
334dbd41-8a92-11e4-977f-0800271c1b75,Toutes les 6 heures,Every 6 hour,q6h,q6h,Frequency,N/A,
334ea16c-8a92-11e4-977f-0800271c1b75,Toutes les 8 heures,Every 8 hour,q8h,q8h,Frequency,N/A,
334f851c-8a92-11e4-977f-0800271c1b75,Toutes les 12 heures,Every 12 hour,q12h,q12h,Frequency,N/A,
335071ea-8a92-11e4-977f-0800271c1b75,Un jour sur deux,Every other day,1j/2,EOD,Frequency,N/A,
33516e22-8a92-11e4-977f-0800271c1b75,Une fois par semaine,Once weekly,1x/sem,OW,Frequency,N/A,
33523c55-8a92-11e4-977f-0800271c1b75,Deux fois par semaine,Twice weekly,2x/sem,TW,Frequency,N/A,
3352f51b-8a92-11e4-977f-0800271c1b75,Trois fois par semaine,Three times weekly,3x/sem,ThW,Frequency,N/A,
3353b81e-8a92-11e4-977f-0800271c1b75,Toutes les 2 semaines,Every 2 week,q2sem,q2w,Frequency,N/A,
33547af0-8a92-11e4-977f-0800271c1b75,Toutes les 3 semaines,Every 3 week,q3sem,q3w,Frequency,N/A,
3355487f-8a92-11e4-977f-0800271c1b75,Une fois par mois,Once monthly,1x/mois,OM,Frequency,N/A,
33b40722-8a92-11e4-977f-0800271c1b75,Cinq fois par jour,Five times daily,5x/jour,5D,Frequency,N/A,
33b501b0-8a92-11e4-977f-0800271c1b75,Quatre jours par semaine,Four days per week,4j/sem,4DW,Frequency,N/A,
33b5c447-8a92-11e4-977f-0800271c1b75,Cinq jours par semaine,Five days per week,5j/sem,5DW,Frequency,N/A,
33b68622-8a92-11e4-977f-0800271c1b75,Six jours par semaine,Six days per week,6j/sem,6DW,Frequency,N/A,
