Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1000
0001fdca-769d-47e4-8397-1c73c8bad34b,,,Biochemistry Department,Département de biochimie,Biochemistry,,,,Department,N/A,,,,,,,,,,,
50975c1d-ae6a-4e8a-90cd-172a1e55156c,,,Pathology Department,Département de pathologie,Pathology,,,,Department,N/A,,,,,,,,,,,
2c87f0c0-9b9b-4c8b-ae96-20e6361f21d5,,,Haematology Lab Department,Département de Hematologie,Haematology,,,,Department,N/A,,,,,,,,,,,
5a950b75-e24c-438d-9e64-5795c6cb921b,,,Histopathology Department,Département de Histopathologie,Histopathology,,,,Department,N/A,,,,,,,,,,,
af18babe-99b0-44f4-ac7a-88b3d91a0c2a,,,Serology Department,Département de Serologie,Serology,,,,Department,N/A,,,,,,,,,,,
3c3ba267-033d-4433-abd6-49adce15e315,,,Microbiology Department,Département de Microbiologie,Microbiology,,,,Department,N/A,,,,,,,,,,,
bca877a0-dafc-494b-9470-17a0a15108de,,,Parasitology Department,Département de Parasitologie,Parasitology,,,,Department,N/A,,,,,,,,,,,
ad135cb0-ff62-417f-8a33-98cda2d35913,,,Bacteriology Dept,Département de bactériologie,Bacteriology,,,,Department,N/A,,,,,,,,,,,
53c99a57-e431-499a-bac7-bf496a922b6d,,,PARASITOLOGIE-BACTERIOLOGIE Dept,Département de PARASITOLOGIE-BACTERIOLOGIE,PARASITOLOGIE-BACTERIOLOGIE,,,,Department,N/A,,,,,,,,,,,
cfa61027-0f17-4107-a977-494677c4b0d5,,,Hormonologie Dept,Département de Hormonologie,Hormonologie,,,,Department,N/A,,,,,,,,,,,
42704661-8ccb-4f6c-bffd-fabec921ce89,,,Paternity Test Dept,Département Test de Paternité ,Paternity Test,,,,Department,N/A,,,,,,,,,,,
