Concept,Member,Member Type,Sort Weight,_version:1,_order:1000
ad135cb0-ff62-417f-8a33-98cda2d35913,7f6a3068-512a-48cf-8277-3ef49aa35054,CONCEPT-SET,1,,
ad135cb0-ff62-417f-8a33-98cda2d35913,a1b2c3d4-1111-4567-89ab-def012340001,CONCEPT-SET,2,,
ad135cb0-ff62-417f-8a33-98cda2d35913,a1b2c3d4-2222-4567-89ab-def012340002,CONCEPT-SET,3,,
ad135cb0-ff62-417f-8a33-98cda2d35913,a1b2c3d4-3333-4567-89ab-def012340003,CONCEPT-SET,4,,
ad135cb0-ff62-417f-8a33-98cda2d35913,a1b2c3d4-4444-4567-89ab-def012340004,CONCEPT-SET,5,,
ad135cb0-ff62-417f-8a33-98cda2d35913,a1b2c3d4-5555-4567-89ab-def012340005,CONCEPT-SET,6,,

ad135cb0-ff62-417f-8a33-98cda2d35913,cfbf48d4-5669-4091-9670-101273bba598,CONCEPT-SET,7,,
ad135cb0-ff62-417f-8a33-98cda2d35913,d44c9737-58f2-4b94-8be2-6d5b52f480e9,CONCEPT-SET,8,,
ad135cb0-ff62-417f-8a33-98cda2d35913,3febc26f-f57c-4c79-939c-79af8a6c91e7,CONCEPT-SET,9,,
ad135cb0-ff62-417f-8a33-98cda2d35913,e0653776-56ad-4037-9773-a07f834cf47b,CONCEPT-SET,10,,
ad135cb0-ff62-417f-8a33-98cda2d35913,3c2b2f14-0eb7-4110-866c-3b1e11c3d713,CONCEPT-SET,11,,
ad135cb0-ff62-417f-8a33-98cda2d35913,87fecd1c-a2f0-4448-a932-9293416b8be7,CONCEPT-SET,12,,
ad135cb0-ff62-417f-8a33-98cda2d35913,d9e13423-5381-4e5a-a581-7746687972a4,CONCEPT-SET,13,,
ad135cb0-ff62-417f-8a33-98cda2d35913,36885e85-9e5b-46e0-b4d4-3e73b98eb9cc,CONCEPT-SET,14,,
ad135cb0-ff62-417f-8a33-98cda2d35913,7d1a1b43-33f1-4751-ba0f-33577b5f2bfe,CONCEPT-SET,15,,
ad135cb0-ff62-417f-8a33-98cda2d35913,a6e1877c-1946-4c89-ac0c-130daad5f25f,CONCEPT-SET,16,,
ad135cb0-ff62-417f-8a33-98cda2d35913,960fa77d-ec44-42e8-bbac-272ec8be5c76,CONCEPT-SET,17,,

ad135cb0-ff62-417f-8a33-98cda2d35913,5f83b710-1fec-43b4-bfd3-0532baca4dc3,CONCEPT-SET,18,,
ad135cb0-ff62-417f-8a33-98cda2d35913,a1b2c3d4-6666-4567-89ab-def012340006,CONCEPT-SET,19,,
ad135cb0-ff62-417f-8a33-98cda2d35913,a1b2c3d4-7777-4567-89ab-def012340007,CONCEPT-SET,20,,
ad135cb0-ff62-417f-8a33-98cda2d35913,a1b2c3d4-8888-4567-89ab-def012340008,CONCEPT-SET,21,,
ad135cb0-ff62-417f-8a33-98cda2d35913,a1b2c3d4-9999-4567-89ab-def012340009,CONCEPT-SET,22,,
ad135cb0-ff62-417f-8a33-98cda2d35913,a1b2c3d4-aaaa-4567-89ab-def01234000a,CONCEPT-SET,23,,
ad135cb0-ff62-417f-8a33-98cda2d35913,a1b2c3d4-bbbb-4567-89ab-def01234000b,CONCEPT-SET,24,,
ad135cb0-ff62-417f-8a33-98cda2d35913,a1b2c3d4-cccc-4567-89ab-def01234000c,CONCEPT-SET,25,,
ad135cb0-ff62-417f-8a33-98cda2d35913,a1b2c3d4-dddd-4567-89ab-def01234000d,CONCEPT-SET,26,,
ad135cb0-ff62-417f-8a33-98cda2d35913,a1b2c3d4-eeee-4567-89ab-def01234000e,CONCEPT-SET,27,,
ad135cb0-ff62-417f-8a33-98cda2d35913,a1b2c3d4-ffff-4567-89ab-def01234000f,CONCEPT-SET,28,,
ad135cb0-ff62-417f-8a33-98cda2d35913,a1b2c3d4-0001-4567-89ab-def012340010,CONCEPT-SET,29,,
ad135cb0-ff62-417f-8a33-98cda2d35913,a1b2c3d4-0002-4567-89ab-def012340011,CONCEPT-SET,30,,
ad135cb0-ff62-417f-8a33-98cda2d35913,a1b2c3d4-0003-4567-89ab-def012340012,CONCEPT-SET,31,,
