Concept,Member,Member Type,Sort Weight,_version:1,_order:1000
Lab Departments,0001fdca-769d-47e4-8397-1c73c8bad34b,CONCEPT-SET,1,,
Lab Departments,50975c1d-ae6a-4e8a-90cd-172a1e55156c,CONCEPT-SET,2,,
Lab Departments,2c87f0c0-9b9b-4c8b-ae96-20e6361f21d5,CONCEPT-SET,3,,
Lab Departments,5a950b75-e24c-438d-9e64-5795c6cb921b,CONCEPT-SET,4,,
Lab Departments,af18babe-99b0-44f4-ac7a-88b3d91a0c2a,CONCEPT-SET,5,,
Lab Departments,3c3ba267-033d-4433-abd6-49adce15e315,CONCEPT-SET,6,,
Lab Departments,bca877a0-dafc-494b-9470-17a0a15108de,CONCEPT-SET,7,,
Lab Departments,ad135cb0-ff62-417f-8a33-98cda2d35913,CONCEPT-SET,8,,
Lab Departments,53c99a57-e431-499a-bac7-bf496a922b6d,CONCEPT-SET,9,,
Lab Departments,cfa61027-0f17-4107-a977-494677c4b0d5,CONCEPT-SET,10,,
Lab Departments,42704661-8ccb-4f6c-bffd-fabec921ce89,CONCEPT-SET,11,,






